Barbastellus barbastellus,0.424,0.545,2.7315,2.737,,5aa698d9-f40f-41c2-9945-b2ba6823f612
Pipistrellus pipistrellus,0.599,0.605,0.2415,0.2477,,2b373409-6960-4a5c-9c1a-4d95c94da8b8
Pipistrellus pipistrellus,0.59,0.6,0.6765,0.6845,,9c73248d-ea6e-4826-af81-13f193f976bc
Pipistrellus pipistrellus,0.538,0.551,0.9135,0.9215,,3a6e03c9-3eea-4dc8-974c-dcc3f75edae6
Pipistrellus pipistrellus,0.552,0.559,1.0855,1.0914,,779dcbc1-5cb5-468d-b54d-ddf24dabcfa4
Pipistrellus pipistrellus,0.556,0.569,1.1705,1.1767,,0e9b3e44-b4b8-4210-bcad-3810334561b8
Pipistrellus pipistrellus,0.574,0.58,1.2555,1.261,,41d7aa16-5382-41f6-a726-dfb7cce4c7e8
Pipistrellus pipistrellus,0.63,0.639,1.3395,1.3457,,e5d9f05e-0bcc-4fc7-810d-c39a7682007b
Pipistrellus pipistrellus,0.662,0.676,1.4245,1.4307,,11c23a08-a99b-42c9-b623-990c9aa3804c
Pipistrellus pipistrellus,0.632,0.648,1.5105,1.518,,ec462cb9-7171-473c-9f06-5d8c5adf0963
Pipistrellus pipistrellus,0.671,0.681,1.6015,1.6078,,05aae1d6-7e45-46bd-91cc-4cbc26abda95
Pipistrellus pipistrellus,0.676,0.685,1.6875,1.6933,,a1e54e08-aa14-43f0-a8c1-f8e35046a3b0
Pipistrellus pipistrellus,0.706,0.733,1.7765,1.784,,4fb18dd9-4a92-48ca-afab-55277fc1abdd
Pipistrellus pipistrellus,0.674,0.698,1.8725,1.8787,,7b4f1585-2033-4cb7-b998-a305403c1339
Pipistrellus pipistrellus,0.759,0.766,1.9675,1.9741,,aac9768d-91ec-412a-bd63-820513230acb
Pipistrellus pipistrellus,0.708,0.715,2.0655,2.0719,,cc30153e-6609-46de-b41d-df6943a69673
Pipistrellus pipistrellus,0.699,0.717,2.1575,2.1658,,6e290ed5-93e2-4523-8cb9-2083d4c9807c
Pipistrellus pipistrellus,0.718,0.727,2.2515,2.2571,,f007918e-be36-46ea-8b3d-3c6063e52204
